i,roast_id,time_s,phase_used,phase_actual_next,gas,pressure,drum_speed,start_weight_kg,bean_start_temp_c,charge_temp_c,start_temp_c,observer_enabled,actual_bt,pred_bt,actual_et,pred_et,actual_ror,pred_ror,pred_e_drum_raw,pred_e_drum,pred_m_burden,pred_p_dry,pred_p_mai,pred_p_dev,bt_error,et_error,ror_error
622,PR-0173,622.0,development,development,0.35,195.1,0.7,,,221.2,,False,206.5,217.00644089067717,210.0,221.7758495840714,0.0,6.5641136956785475,-21.499201490643223,-0.9280702058439768,0.0,1.0,1.0,1.0,10.506440890677169,11.775849584071409,6.5641136956785475
623,PR-0173,623.0,development,development,0.35,194.8,0.7,,,221.2,,False,206.8,217.11394640682235,210.0,221.775218674811,18.000000000000682,6.529978877588249,-21.737342850298734,-0.9374534552071626,0.0,1.0,1.0,1.0,10.313946406822339,11.775218674810986,-11.470021122412433
624,PR-0173,624.0,development,development,0.35,194.2,0.7,,,221.2,,False,206.8,217.22083899815863,210.2,221.7752156225506,0.0,6.495051858364745,-21.97062907959826,-0.9466454026525007,0.0,1.0,1.0,1.0,10.420838998158615,11.575215622550616,6.495051858364745
625,PR-0173,625.0,development,development,0.35,195.7,0.7,,,221.2,,False,207.0,217.3271168883354,210.2,221.77943661507157,11.999999999999318,6.459538324037437,-22.20776673850337,-0.9559891041839254,0.0,1.0,1.0,1.0,10.32711688833541,11.579436615071586,-5.540461675961881
626,PR-0173,626.0,development,development,0.35,195.9,0.7,,,221.2,,False,207.0,217.43279887792963,210.2,221.7874760301326,0.0,6.423952639522111,-22.443357593072573,-0.9652718585081078,0.0,1.0,1.0,1.0,10.432798877929628,11.58747603013262,6.423952639522111
627,PR-0173,627.0,development,development,0.35,195.1,0.7,,,221.2,,False,207.0,217.53790990632984,210.2,221.78936615510153,0.0,6.388765358869372,-22.673294250083508,-0.9743318260567604,0.0,1.0,1.0,1.0,10.537909906329844,11.589366155101544,6.388765358869372
628,PR-0173,628.0,development,development,0.35,196.9,0.7,,,221.2,,False,207.2,217.64242158988642,210.2,221.795815457881,11.999999999999318,6.3533460552270125,-22.908352690802626,-0.9835936022025744,0.0,1.0,1.0,1.0,10.442421589886436,11.595815457881002,-5.646653944772305
629,PR-0173,629.0,development,development,0.35,195.5,0.7,,,221.2,,False,207.2,217.7463679592011,210.2,221.8004955124116,0.0,6.318376886323225,-23.135288541342547,-0.9925353319304263,0.0,1.0,1.0,1.0,10.54636795920112,11.600495512411612,6.318376886323225
630,PR-0173,630.0,development,development,0.35,195.1,0.7,,,221.2,,False,207.5,217.84975334702202,210.2,221.80417115151258,18.000000000000682,6.283800801202587,-23.35830588887078,-1.0013226647448557,0.0,1.0,1.0,1.0,10.349753347022016,11.604171151512588,-11.716199198798094
631,PR-0173,631.0,development,development,0.35,193.9,0.7,,,221.2,,False,207.5,217.9525925538912,210.2,221.80843975797026,0.0,6.249766284487257,-23.57414562940487,-1.0098271853827088,0.0,1.0,1.0,1.0,10.452592553891208,11.608439757970274,6.249766284487257
