i,time_s,phase_actual,measured_bt,measured_et,measured_ror,estimated_bt,estimated_et,estimated_ror,estimated_e_drum,estimated_m_burden,estimated_p_dry,estimated_p_mai,estimated_p_dev,actual_gas_now,actual_pressure_now,actual_drum_now,recommended_gas,recommended_pressure,recommended_drum,recommendation_text,mpc_objective,candidate_index
20,21.0,drying,137.8,140.0,-323.99999999999864,137.65808106463692,139.1509061372807,-292.189432624832,-0.3252176924038707,0.6544186444379044,1.0,1.0,0.5102107372236916,0.75,130.6,0.65,0.4,39.30000000000001,0.65,Reduce gas slightly (-0.35) | Reduce airflow (-91.3 Pa),3703.519476289908,20
21,22.0,drying,134.0,138.8,-228.00000000000068,133.4199763077405,137.7007306342182,-274.7522052445803,-0.31339854038851717,0.6387142248042009,1.0,1.0,0.5102107372236916,0.75,129.7,0.65,0.48000000000000004,24.30000000000001,0.65,Reduce gas slightly (-0.27) | Reduce airflow (-105.4 Pa),2885.997261532019,20
22,23.0,drying,130.5,137.5,-210.0,129.55855283669183,136.51467321509875,-258.7655693863326,-0.29610868310877275,0.6230618462971788,1.0,1.0,0.5102107372236916,0.75,131.0,0.65,0.56,9.300000000000011,0.65,Reduce gas slightly (-0.19) | Reduce airflow (-121.7 Pa),2137.0894266041405,20
23,24.0,drying,126.8,136.5,-222.00000000000017,125.8704489692373,135.59989062884316,-249.62501023237445,-0.27340282761728146,0.6074551485405495,1.0,1.0,0.5102107372236916,0.75,128.8,0.65,0.64,0.0,0.65,Reduce gas slightly (-0.11) | Reduce airflow (-128.8 Pa),1519.528707878377,20
24,25.0,drying,123.2,135.5,-215.99999999999966,122.33619906157175,134.88553779879575,-240.5809839846341,-0.24626109342621258,0.5918896306151055,1.0,1.0,0.5102107372236916,0.75,130.2,0.65,0.72,0.0,0.65,Reduce gas slightly (-0.03) | Reduce airflow (-130.2 Pa),1090.886347141134,20
25,26.0,drying,120.0,134.5,-192.00000000000017,119.04531116925104,134.31886170435527,-227.91664699923606,-0.21623861539790953,0.5763617333128538,1.0,1.0,0.5102107372236916,0.75,129.2,0.65,0.7999999999999999,0.0,0.65,Increase gas slightly (+0.05) | Reduce airflow (-129.2 Pa),826.6353819662612,20
26,27.0,drying,117.0,133.8,-180.0,115.98038104960204,133.93674700005087,-215.6742845194495,-0.18336420097074474,0.5608675964649105,1.0,1.0,0.5102107372236916,0.75,130.6,0.65,0.84,0.0,0.65,Increase gas slightly (+0.09) | Reduce airflow (-130.6 Pa),725.8630811751717,15
27,28.0,drying,114.2,133.2,-167.99999999999983,113.13136696908487,133.63013597617856,-203.6894182069733,-0.14924245009827913,0.5454043018267294,1.0,1.0,0.5102107372236916,0.75,130.1,0.65,0.84,0.0,0.65,Increase gas slightly (+0.09) | Reduce airflow (-130.1 Pa),668.6720444381576,10
28,29.0,drying,111.5,132.5,-162.00000000000017,110.45201988968665,133.26865309196432,-193.17454868689958,-0.11546191673453822,0.5299701758897645,1.0,1.0,0.5102107372236916,0.75,129.8,0.65,0.84,0.0,0.65,Increase gas slightly (+0.09) | Reduce airflow (-129.8 Pa),616.5631247712678,10
29,30.0,drying,109.0,132.0,-150.0,107.94398642452995,132.91720610506843,-182.48159596348788,-0.0820191887044347,0.5145641928377298,1.0,1.0,0.5102107372236916,0.75,130.9,0.65,0.7999999999999999,0.0,0.65,Increase gas slightly (+0.05) | Reduce airflow (-130.9 Pa),559.8043387894935,5
30,31.0,drying,106.8,131.5,-132.00000000000017,105.64497611719233,132.48700181579164,-170.6513196565237,-0.050486968544204626,0.4991858024117163,1.0,1.0,0.5102107372236916,0.75,131.3,0.65,0.7999999999999999,0.0,0.65,Increase gas slightly (+0.05) | Reduce airflow (-131.3 Pa),499.5959362025826,10
31,32.0,drying,104.5,131.2,-137.99999999999983,103.43539715501153,132.13364252683442,-163.23744273804425,-0.019270070585576872,0.48383273234999935,1.0,1.0,0.5102107372236916,0.75,131.8,0.65,0.7999999999999999,0.0,0.65,Increase gas slightly (+0.05) | Reduce airflow (-131.8 Pa),448.1164390665033,10
32,33.0,drying,102.2,131.0,-137.99999999999983,101.28328965572491,131.86043998723613,-157.11134690018025,0.011634658393464626,0.46850336305290197,1.0,1.0,0.5102107372236916,0.75,133.1,0.65,0.7999999999999999,0.0,0.65,Increase gas slightly (+0.05) | Reduce airflow (-133.1 Pa),408.0875745511771,10
33,34.0,drying,100.2,130.8,-120.0,99.27426214825994,131.64478837241833,-148.09037925278125,0.04223034008271569,0.4531963413287324,1.0,1.0,0.5102107372236916,0.75,130.2,0.65,0.7999999999999999,0.0,0.65,Increase gas slightly (+0.05) | Reduce airflow (-130.2 Pa),370.283187032679,10
34,35.0,drying,98.2,130.5,-120.0,97.35472551773009,131.44537035878608,-141.1260681544801,0.07252006495507424,0.43790974061341936,1.0,1.0,0.5102107372236916,1.0,131.2,0.65,0.7599999999999999,0.0,0.65,Reduce gas slightly (-0.24) | Reduce airflow (-131.2 Pa),333.53413510210436,5
35,36.0,drying,96.5,130.5,-102.00000000000017,95.59448981746537,131.2467020952871,-131.79917889643534,0.1009308119891368,0.42264371551136737,1.0,1.0,0.5102107372236916,1.0,130.5,0.65,0.7599999999999999,0.0,0.65,Reduce gas slightly (-0.24) | Reduce airflow (-130.5 Pa),297.12653812491067,10
36,37.0,drying,94.8,130.5,-102.00000000000017,93.93144161466611,131.13231201980435,-124.89010239782509,0.12905745155285872,0.4073956471211341,1.0,1.0,0.5102107372236916,1.0,130.3,0.65,0.7599999999999999,0.0,0.65,Reduce gas slightly (-0.24) | Reduce airflow (-130.3 Pa),261.28812078698087,10
37,38.0,drying,93.2,130.5,-95.99999999999966,92.36591018218022,131.0784770689954,-118.14951409644318,0.15690282472094344,0.3921637662445909,1.0,1.0,0.5102107372236916,1.0,130.0,0.65,0.7599999999999999,0.0,0.65,Reduce gas slightly (-0.24) | Reduce airflow (-130.0 Pa),229.74433022856385,10
38,39.0,drying,91.8,130.5,-84.00000000000034,90.93216945978293,131.06807303007025,-110.33861879298156,0.1844697441573473,0.37694654317660353,1.0,1.0,0.5102107372236916,1.0,130.1,0.65,0.7599999999999999,0.0,0.65,Reduce gas slightly (-0.24) | Reduce airflow (-130.1 Pa),199.3583816825731,10
39,40.0,drying,90.5,130.5,-77.99999999999983,89.61548688983858,131.0887397712478,-103.20823410851982,0.21176099439938714,0.36174230120698936,1.0,1.0,0.5102107372236916,1.0,129.8,0.65,0.7199999999999999,0.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-129.8 Pa),168.27819600355232,5
40,41.0,drying,89.0,130.8,-90.0,88.30054159283459,131.12089908009438,-100.15531625780335,0.2372032515494342,0.34655078345115986,1.0,1.0,0.5102107372236916,1.0,131.0,0.65,0.7199999999999999,0.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-131.0 Pa),142.14894648051174,10
41,42.0,drying,88.0,130.8,-60.0,87.16197197000216,131.17012311733683,-90.98032009037105,0.26239108612798073,0.33137074121518506,1.0,1.0,0.5102107372236916,1.0,131.1,0.65,0.7199999999999999,0.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-131.1 Pa),116.98696382243018,10
42,43.0,drying,86.8,131.0,-72.00000000000017,86.06167584320595,131.2814071531536,-86.91809539992248,0.2873270423607419,0.3162003479529911,1.0,1.0,0.5102107372236916,1.0,130.2,0.65,0.7199999999999999,0.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-130.2 Pa),96.03120232265702,10
43,44.0,drying,85.5,131.2,-77.99999999999983,84.95205591543694,131.43723860005593,-84.50133451644213,0.3120136390311754,0.3010386146806503,1.0,1.0,0.5102107372236916,1.0,129.9,0.65,0.7199999999999999,0.0,0.65,Reduce gas slightly (-0.28) | Reduce airflow (-129.9 Pa),82.8176269391909,10
44,45.0,drying,84.5,131.5,-60.0,83.943353007474,131.64997663463993,-78.1622243459216,0.3364533697349046,0.2858851787920734,1.0,1.0,0.5102107372236916,1.0,130.5,0.65,0.6799999999999998,0.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-130.5 Pa),66.29333055580854,5
45,46.0,drying,83.5,131.8,-60.0,82.99755410238258,131.81788911358353,-73.28623805778923,0.359072622542024,0.2707396702074454,1.0,1.0,0.5102107372236916,1.0,130.8,0.65,0.6799999999999998,0.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-130.8 Pa),53.40615232014666,10
46,47.0,drying,82.8,132.0,-42.00000000000017,82.19330505539953,132.01223600263904,-65.72569885166605,0.38146568282107224,0.255600840829122,1.0,1.0,0.5102107372236916,1.0,131.2,0.65,0.6799999999999998,0.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-131.2 Pa),41.0071148949958,10
47,48.0,drying,82.0,132.2,-47.99999999999983,81.4414377386927,132.22543628709684,-61.56428655903271,0.4036348124973299,0.24046709494418594,1.0,1.0,0.5102107372236916,1.0,130.6,0.65,0.6799999999999998,0.0,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-130.6 Pa),31.904428693526203,10
48,49.0,drying,81.0,132.5,-60.0,80.65218797967535,132.47701908516098,-60.53807789896382,0.4255822508768251,0.22533775231054265,1.0,1.0,0.5102107372236916,1.0,129.2,0.65,0.6799999999999998,7.5,0.65,Reduce gas slightly (-0.32) | Reduce airflow (-121.7 Pa),27.42511469563496,13
49,50.0,drying,80.2,133.0,-47.99999999999983,79.91084016481511,132.80482798228533,-56.4188330333022,0.4460918470698256,0.21021280321696117,1.0,1.0,0.5102107372236916,1.0,129.8,0.65,0.6399999999999998,0.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-129.8 Pa),22.672723259661293,5
50,51.0,drying,79.5,133.2,-42.00000000000017,79.23643780617962,133.02805778526155,-51.74956116585372,0.4660386345140234,0.1950921505828062,1.0,1.0,0.5102107372236916,1.0,130.1,0.65,0.6399999999999998,0.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-130.1 Pa),17.002615674195788,10
51,52.0,drying,79.0,133.5,-30.0,78.66872907358521,133.28460989137074,-45.72338380090001,0.4857859540837793,0.17997511892671225,1.0,1.0,0.5102107372236916,1.0,131.5,0.65,0.6399999999999998,0.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-131.5 Pa),13.280138735314011,10
52,53.0,drying,78.5,133.8,-30.0,78.16739377697606,133.5650154973128,-41.40330068281545,0.5053358004578375,0.1648603690722305,1.0,1.0,0.5102107372236916,1.0,131.2,0.65,0.6399999999999998,0.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-131.2 Pa),11.619023396647151,10
53,54.0,drying,77.8,134.0,-42.00000000000017,77.6374325937964,133.83744053915288,-40.477812077496196,0.5246901483681553,0.14974703756872698,1.0,1.0,0.5102107372236916,1.0,130.8,0.65,0.6399999999999998,7.5,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-123.3 Pa),11.86243751336519,13
54,55.0,drying,77.5,134.5,-17.99999999999983,77.22892113388494,134.17764613853558,-34.25204360953829,0.54263258499667,0.13463550606430724,1.0,1.0,0.5102107372236916,1.0,129.9,0.65,0.6399999999999998,15.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-114.9 Pa),11.454449351558969,13
55,56.0,drying,77.0,134.8,-30.0,76.82650684578445,134.51534341756997,-32.32114939652142,0.5591772294562,0.11952397061085578,1.0,1.0,0.5102107372236916,1.0,129.1,0.65,0.6399999999999998,22.5,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-106.6 Pa),9.599232039809548,13
56,57.0,drying,76.5,135.0,-30.0,76.42698213537994,134.82480100849995,-30.419168780623163,0.5743380596684348,0.10441242994917249,1.0,1.0,0.5102107372236916,1.0,130.7,0.65,0.6399999999999998,30.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-100.7 Pa),9.90761076054472,13
57,58.0,drying,76.2,135.5,-17.99999999999983,76.09738768771628,135.18745616563112,-26.17653464644426,0.5881289137758473,0.08930117585125562,1.0,1.0,0.5102107372236916,1.0,130.6,0.65,0.6399999999999998,37.5,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-93.1 Pa),9.615022189707544,13
58,59.0,drying,76.0,135.8,-12.00000000000017,75.84687082879624,135.53711752218905,-21.853642205637367,0.6005634915394861,0.0741890367843629,1.0,1.0,0.5102107372236916,1.0,127.8,0.65,0.6399999999999998,45.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-82.8 Pa),10.746799247043528,13
59,60.0,drying,75.5,136.0,-30.0,75.53843523160145,135.8510115233196,-22.381491362036897,0.6116553557227887,0.05907543198612989,1.0,1.0,0.5102107372236916,1.0,129.6,0.65,0.6399999999999998,52.5,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-77.1 Pa),11.26925019144578,13
60,61.0,drying,75.5,136.5,0.0,75.36751194934786,136.2127104233194,-16.02222238917202,0.6214179334615585,0.04396130079152131,1.0,1.0,0.5102107372236916,1.0,130.3,0.65,0.6399999999999998,52.5,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-77.8 Pa),11.172404212902936,12
61,62.0,drying,75.2,136.8,-17.99999999999983,75.17740789210853,136.55882177838217,-15.48511869106416,0.6310828854229408,0.028844864072033516,1.0,1.0,0.5102107372236916,1.0,130.5,0.65,0.6399999999999998,52.5,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-78.0 Pa),12.154682489548287,12
62,63.0,drying,75.0,137.2,-12.00000000000017,75.00992554317105,136.9185797502467,-13.406451156954006,0.6406511878647091,0.013726463641366057,1.0,1.0,0.5102107372236916,1.0,131.0,0.65,0.6399999999999998,52.5,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-78.5 Pa),13.743566717241016,12
63,64.0,drying,74.8,137.5,-12.00000000000017,74.85674501486332,137.2630912495209,-11.673420140277788,0.6501238072820598,0.0,1.0,1.0,0.5102107372236916,1.0,132.4,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-72.4 Pa),14.919990496115572,13
64,65.0,drying,74.8,137.8,0.0,74.78100488042813,137.59523963498225,-7.775058449256389,0.6582833327025372,0.0,1.0,1.0,0.5102107372236916,1.0,130.3,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.3 Pa),15.45888418272633,12
65,66.0,drying,74.8,138.0,0.0,74.75204199475907,137.89337809288384,-5.142957279701675,0.6663612628688099,0.0,1.0,1.0,0.5102107372236916,1.0,131.0,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.0 Pa),18.579065184315546,12
66,67.0,drying,74.5,138.5,-17.99999999999983,74.64527871330496,138.2418793192299,-6.8909785371765615,0.6743584137334198,0.0,1.0,1.0,0.5102107372236916,1.0,131.3,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.3 Pa),18.489665065389723,12
67,68.0,drying,74.5,138.8,0.0,74.5979198469387,138.57665790959442,-3.781660227922174,0.6822755930893836,0.0,1.0,1.0,0.5102107372236916,1.0,130.7,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.7 Pa),21.018020277736706,12
68,69.0,drying,74.5,139.2,0.0,74.5862689722055,138.92644755317792,-1.6165859854624087,0.6901136006517877,0.0,1.0,1.0,0.5102107372236916,1.0,131.0,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.0 Pa),21.23662482629655,12
69,70.0,drying,74.5,139.5,0.0,74.59697633473344,139.26199365868197,0.0008374486302869854,0.697873228138568,0.0,1.0,1.0,0.5102107372236916,1.0,129.6,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-69.6 Pa),22.474406646089466,12
70,71.0,drying,74.5,140.0,0.0,74.62074237941252,139.63717637333147,1.2789178488256838,0.7055552593504804,0.0,1.0,1.0,0.5102107372236916,1.0,131.5,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.5 Pa),23.990588518345184,12
71,72.0,drying,74.5,140.2,0.0,74.6539961257371,139.96589584127594,2.389110209669912,0.7131604702502735,0.0,1.0,1.0,0.5102107372236916,1.0,132.1,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-72.1 Pa),25.27958348920412,12
72,73.0,drying,74.5,140.8,0.0,74.69118605949855,140.36099215280302,3.355864055692031,0.7206896290410688,0.0,1.0,1.0,0.5102107372236916,1.0,130.4,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.4 Pa),25.700021926671276,12
73,74.0,drying,74.5,141.0,0.0,74.73333881759932,140.70393219150054,4.2955568812239715,0.7281434962439561,0.0,1.0,1.0,0.5102107372236916,1.0,130.8,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.8 Pa),25.130376574435036,12
